model_number,distance_used,similarity_scaling_used,features_used,train_log_likelihood,opt_log_likelihood,heldout_log_likelihood,weight_1,weight_2,weight_3,weight_4,weight_5
MODEL-2.1 - Natural,1,4,F1_F2,-1870.9256111708708,-3921.710670570712,-3937.737738764918,1.0,0.0,,,
MODEL-2.1 - Natural,1,4,F1_F2,-1859.1025985142455,-3907.9041399344433,-3924.1187086077584,1.0,0.0,,,
MODEL-2.1 - Natural,2,1,F1_F2,-1876.9608657023055,-3793.6977396390444,-3808.5247948771307,1.0,0.0,,,
MODEL-2.1 - Natural,2,1,F1_F2,-1893.9677615254382,-3829.1737929493097,-3840.8300812124053,0.9999999999976752,2.3246959912626153e-12,,,
MODEL-2.1 - Natural,2,1,F1_F2,-1893.8254680186283,-3817.8267034773858,-3830.05396829075,0.9999999999970648,2.935207632503989e-12,,,
MODEL-2.1 - Natural,2,1,F1_F2,-1756.154603724292,-3811.169528788043,-3824.3784373392846,1.0,0.0,,,
MODEL-2.1 - Natural,2,1,F1_F2,-1762.1699616604446,-3808.9130315755324,-3822.079584040306,1.0,0.0,,,
MODEL-2.1 - Natural,2,2,F1_F2,-1924.4559034235913,-3836.441313609216,-3851.365818406097,0.9999999999571669,4.2833125935004546e-11,,,
MODEL-2.1 - Natural,2,2,F1_F2,-1941.2813948480375,-3850.876353243185,-3864.6996013900953,0.9999999999863631,1.3636924922622029e-11,,,
MODEL-2.1 - Natural,2,2,F1_F2,-1946.2538301109348,-3845.285136849127,-3859.104049461271,1.0,0.0,,,
MODEL-2.1 - Natural,2,2,F1_F2,-1805.9825833585899,-3838.1559119013555,-3852.7579314824898,1.0,0.0,,,
MODEL-2.1 - Natural,2,2,F1_F2,-1801.7354756285472,-3833.422091557609,-3847.6644785070494,0.9999999999522631,4.773681450132017e-11,,,
MODEL-2.1 - Natural,2,4,F1_F2,-1989.959012335199,-3925.07739096691,-3940.890012270198,0.9999999999698331,3.016686900281229e-11,,,
MODEL-2.1 - Natural,2,4,F1_F2,-2005.8158503302234,-3925.178774320698,-3941.135467084452,1.0,0.0,,,
MODEL-2.1 - Natural,2,4,F1_F2,-2014.9326407833205,-3924.409161558365,-3940.199778660296,1.0,0.0,,,
MODEL-2.1 - Natural,2,4,F1_F2,-1870.9256111783102,-3921.7106705845176,-3937.737738778278,0.9999999999790576,2.094224793580679e-11,,,
MODEL-2.1 - Natural,2,4,F1_F2,-1859.1025985227955,-3907.9041399495563,-3924.1187086224113,0.9999999999777716,2.2228441309835034e-11,,,
MODEL-2.1 - Natural,1,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,1,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,1,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,2,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.1 - Natural,2,4,F1_F2_F3_F0_Duration,,,,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,1,F1_F2_F3,-1963.8680089005843,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,1,F1_F2_F3,-1968.030806112106,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,1,F1_F2_F3,-1975.4022073237377,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,1,F1_F2_F3,-1836.4162088539583,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,1,F1_F2_F3,-1840.807276628875,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,2,F1_F2_F3,-2038.6858775575502,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,2,F1_F2_F3,-2043.5930258638616,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,2,F1_F2_F3,-2051.988793008296,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,2,F1_F2_F3,-1909.26843833419,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,2,F1_F2_F3,-1910.8881874292738,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,4,F1_F2_F3,-2097.9248785826626,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,4,F1_F2_F3,-2101.0694732271713,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,4,F1_F2_F3,-2111.036422207856,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,4,F1_F2_F3,-1966.772584049736,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,4,F1_F2_F3,-1968.005215077875,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,1,F1_F2_F3,-2005.7930067365935,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,1,F1_F2_F3,-2009.467103458283,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,1,F1_F2_F3,-2018.507744419911,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,1,F1_F2_F3,-1878.5725994534578,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,1,F1_F2_F3,-1881.3692564017008,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,2,F1_F2_F3,-2078.1610062321843,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,2,F1_F2_F3,-2081.6569260900683,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,2,F1_F2_F3,-2091.4936005635645,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,2,F1_F2_F3,-1948.4678391742161,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,2,F1_F2_F3,-1949.6073291623634,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,4,F1_F2_F3,-2112.723518419957,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,4,F1_F2_F3,-2115.0194879812234,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,4,F1_F2_F3,-2125.393675408368,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,4,F1_F2_F3,-1981.734700058339,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,2,4,F1_F2_F3,-1983.4908790085715,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
MODEL-2.2 - Synthetic,1,1,F1_F2,-1903.0873747949327,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,1,F1_F2,-1910.1212525289864,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,1,F1_F2,-1914.5521860246884,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,1,F1_F2,-1777.5187549368416,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,1,F1_F2,-1783.1320514682216,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,2,F1_F2,-1982.284167406906,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,2,F1_F2,-1988.5291247131652,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,2,F1_F2,-1996.1999828389164,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,2,F1_F2,-1854.1066798760367,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,2,F1_F2,-1854.5687263108262,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,4,F1_F2,-2063.5607812544004,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,4,F1_F2,-2067.5240837456886,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,4,F1_F2,-2077.6570739677345,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,4,F1_F2,-1932.1398246174365,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,4,F1_F2,-1931.0111056766395,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,1,F1_F2,-1946.8588033427543,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,1,F1_F2,-1953.867637139063,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,1,F1_F2,-1960.0557889178326,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,1,F1_F2,-1822.04287900694,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,1,F1_F2,-1825.6678960913716,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,2,F1_F2,-2033.6643526105327,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,2,F1_F2,-2039.1362444930642,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,2,F1_F2,-2048.0284285341377,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,2,F1_F2,-1905.5778773904424,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,2,F1_F2,-1905.578725132913,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,4,F1_F2,-2098.031979020013,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,4,F1_F2,-2101.03197906734,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,4,F1_F2,-2111.3459198534674,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,4,F1_F2,-1967.1640721559734,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,2,4,F1_F2,-1967.6137519283623,0.0,0.0,0.5,0.5,,,
MODEL-2.2 - Synthetic,1,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,1,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,1,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,2,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
MODEL-2.2 - Synthetic,2,4,F1_F2_F3_F0_Duration,,0.0,0.0,0.2,0.2,0.2,0.2,0.2
